Avg_MHz	Busy%	PkgTmp	PkgWatt
358	19.85	72	53.77
301	18.94	72	51.19
349	21.12	73	42.56
390	20.10	73	46.55
354	18.18	73	54.25
299	17.48	73	51.66
300	18.26	73	50.88
347	18.74	73	53.43
343	18.14	74	53.27
361	20.81	73	53.72
342	18.16	73	53.40
340	17.93	73	53.24
340	17.87	73	52.94
320	17.23	73	52.76
322	17.83	73	52.55
345	18.27	73	53.47
344	18.16	73	53.38
307	17.40	73	52.16
334	18.46	73	52.94
337	19.64	72	52.28
348	18.58	73	53.98
297	16.77	73	51.75
341	18.78	73	53.12
318	17.22	73	52.22
324	18.24	73	52.42
291	16.47	73	51.62
346	19.97	74	53.11
395	20.14	73	58.43
385	18.74	73	58.35
376	19.50	73	55.84
350	18.58	74	53.99
340	17.84	74	53.31
340	17.87	73	53.47
313	17.46	73	52.01
331	18.27	73	52.76
345	18.25	74	53.03
344	18.14	73	53.51
300	17.45	73	51.94
340	18.65	73	52.84
340	19.76	74	52.95
353	18.90	74	54.05
254	16.66	74	50.00
330	18.57	73	51.63
309	17.24	74	41.03
326	18.15	73	52.28
294	17.05	73	51.24
342	18.51	73	53.53
348	18.51	74	53.49
332	17.58	74	52.93
358	19.55	74	54.25
347	18.43	74	53.70
337	17.65	74	53.37
330	17.27	73	52.91
312	17.57	73	52.70
360	19.74	74	55.79
375	18.19	74	57.78
376	18.21	74	58.15
348	17.70	75	54.96
323	17.10	73	52.28
346	19.55	73	53.96
348	18.48	73	53.95
300	17.00	73	51.80
335	17.81	74	53.21
301	16.57	73	51.46
323	17.76	73	52.95
290	17.05	74	51.41
337	18.04	73	53.17
347	18.41	74	53.75
324	17.34	73	52.90
361	20.50	74	53.69
351	18.71	74	53.93
336	17.58	73	53.44
329	17.30	74	53.17
285	16.63	74	51.33
311	17.79	73	51.97
320	17.62	73	51.47
300	17.73	73	40.10
301	18.07	73	40.01
278	17.06	72	38.00
338	19.06	73	41.00
335	19.28	72	45.62
275	18.01	73	50.87
370	19.43	74	56.80
286	15.71	73	52.53
302	17.65	73	51.52
303	18.66	73	54.68
338	18.58	73	55.77
370	18.44	74	57.67
335	16.77	73	52.18
351	18.90	73	53.82
340	17.83	73	53.57
329	16.86	74	53.06
288	15.98	73	45.47
292	17.87	73	59.65
367	19.06	74	56.72
372	17.59	73	58.43
337	16.39	73	55.45
321	17.56	74	52.90
265	16.62	73	44.59
349	19.27	73	43.85
291	16.62	73	51.50
320	17.81	73	52.68
273	16.33	73	49.53
307	17.44	73	40.20
270	17.82	73	36.84
354	19.26	73	44.75
354	18.40	73	45.74
362	19.09	72	44.86
328	17.51	72	43.64
355	19.55	72	49.11
339	18.03	72	53.21
319	16.87	73	52.50
286	16.61	72	51.22
332	19.32	72	53.73
374	18.09	73	57.21
374	17.78	73	57.58
331	16.58	72	53.60
332	17.79	72	52.62
250	16.56	73	46.77
339	19.57	73	42.25
311	20.16	72	41.32
363	18.56	73	45.73
286	15.60	72	47.84
295	17.57	72	57.61
259	15.66	73	50.24
325	17.35	73	52.98
326	17.00	73	53.33
325	17.53	72	53.01
325	17.24	73	53.14
350	18.96	73	53.85
335	17.69	73	53.36
318	16.71	72	52.60
280	15.95	72	50.87
329	17.66	73	52.86
325	17.20	73	52.83
276	16.39	72	51.01
288	17.28	73	42.71
283	17.31	72	37.43
322	17.64	72	41.12
323	18.49	73	47.46
287	17.95	73	50.76
324	17.38	72	43.01
262	16.77	71	35.69
293	17.23	71	40.03
305	17.54	72	41.65
325	16.97	72	52.78
325	16.94	73	52.85
319	17.48	72	51.87
338	17.76	72	53.98
349	18.80	72	53.65
340	18.01	73	53.39
314	16.98	73	52.14
222	15.48	73	45.57
297	17.84	72	39.58
314	17.93	73	40.44
283	16.66	72	37.87
288	17.45	73	38.27
273	16.86	72	36.76
330	18.21	72	41.22
300	17.08	72	42.71
337	19.56	72	41.18
317	16.68	72	49.73
295	16.78	73	52.31
299	17.12	72	52.44
354	19.33	72	55.77
368	17.99	73	57.89
369	17.85	72	58.12
360	17.72	73	56.89
382	18.77	72	58.13
380	18.60	72	58.25
396	19.88	73	58.66
340	16.57	72	55.31
351	19.25	73	55.12
372	18.32	73	57.39
375	18.18	73	57.78
346	16.77	72	55.93
332	17.09	73	53.47
301	16.63	73	51.61
342	18.18	73	53.37
294	16.51	73	51.88
356	20.05	73	53.54
314	16.66	74	52.08
301	17.07	73	51.89
283	15.76	73	51.45
330	17.82	73	52.89
333	17.32	72	53.21
332	17.19	72	53.17
325	16.99	73	53.01
343	18.01	73	53.16
344	18.03	73	53.74
352	18.92	73	53.77
312	16.93	73	51.56
313	17.49	72	52.81
335	17.39	73	53.25
317	15.90	73	52.83
268	15.62	73	51.28
336	16.94	72	55.43
256	13.98	73	51.79
346	17.43	72	55.56
223	13.54	72	50.17
310	18.55	71	46.50
336	16.11	72	47.14
237	12.93	71	50.98
213	13.28	72	48.35
261	15.18	72	49.89
