Avg_MHz Busy%   PkgTmp  PkgWatt
279     19.42   72      44.85
341     21.22   72      41.23
351     20.15   72      41.99
358     20.41   72      42.55
331     20.41   71      49.06
362     20.55   72      43.19
347     21.45   71      47.14
276     20.72   72      40.95
444     23.20   72      73.54
395     21.22   72      55.62
416     21.46   72      58.28
416     21.22   72      53.12
414     20.80   72      59.52
417     21.12   73      59.59
417     21.09   72      59.62
437     22.73   73      59.97
433     22.32   73      60.16
419     21.25   73      59.78
427     21.84   73      59.93
416     21.18   73      59.55
418     21.09   73      59.69
416     20.99   72      59.78
415     20.90   72      59.81
416     21.04   72      59.73
427     21.58   74      59.93
431     22.31   73      60.09
431     22.15   73      59.92
415     21.09   73      59.60
423     21.53   72      59.84
422     21.55   73      59.83
421     21.38   73      60.10
416     20.95   72      59.91
414     20.90   72      59.88
416     21.00   73      59.82
416     20.96   72      59.93
423     21.62   73      60.03
374     21.21   73      57.01
394     22.56   73      56.63
417     21.34   74      59.16
395     20.37   74      57.71
401     22.07   73      55.59
386     20.36   73      55.76
356     19.93   73      59.99
377     20.61   73      60.02
366     20.12   74      54.39
379     21.20   74      54.67
378     21.43   73      54.72
359     20.66   73      53.53
336     19.99   73      52.49
377     20.82   73      54.78
366     20.27   73      54.37
333     19.63   74      53.22
347     19.53   73      52.26
339     19.92   73      54.42
388     21.56   73      54.40
378     21.12   73      54.73
394     22.27   74      54.79
381     21.02   73      54.46
352     19.74   73      53.64
303     18.98   74      51.58
368     20.59   74      54.29
369     20.06   73      54.76
360     20.10   73      54.34
368     20.54   72      54.13
374     20.72   73      54.33
375     20.75   73      54.45
365     21.31   73      53.79
358     20.85   73      53.59
376     20.67   73      55.11
369     20.64   73      54.45
334     19.03   73      53.27
359     20.67   73      53.59
301     18.84   72      51.48
393     22.86   74      57.29
374     19.46   73      56.48
384     21.43   74      55.02
382     21.16   73      55.20
292     18.05   73      51.91
308     19.85   73      52.05
354     20.45   73      53.52
368     20.18   74      54.28
369     20.26   73      54.24
351     19.86   74      53.92
358     19.60   74      54.25
366     20.21   73      54.29
372     20.72   73      54.77
379     21.61   74      54.86
324     19.18   74      52.84
369     20.75   74      54.96
365     19.76   74      55.03
321     19.75   74      53.44
378     21.84   74      56.89
299     18.56   73      53.22
380     22.26   73      56.14
316     19.36   73      54.52
391     23.28   73      56.81
430     22.97   74      58.47
301     18.90   73      53.24
294     19.69   73      51.59
349     20.64   74      53.52
361     19.87   74      54.07
357     19.61   73      54.33
353     19.79   73      54.44
363     20.20   74      54.36
362     19.81   73      54.36
359     19.73   73      54.22
377     22.49   74      53.44
308     20.05   74      53.69
390     22.51   73      57.09
387     20.09   74      56.48
365     19.52   73      57.83
329     19.08   73      58.81
346     19.91   73      58.70
339     19.10   73      53.90
363     20.73   74      54.84
385     21.88   74      55.08
312     19.48   73      52.86
305     20.16   72      52.60
393     23.12   73      57.25
398     20.70   73      59.00
403     20.85   74      59.46
371     19.88   74      56.71
362     19.87   73      54.83
361     19.74   74      54.83
362     19.81   74      54.41
375     21.59   74      55.27
319     20.06   73      52.72
371     22.13   73      55.91
404     21.40   74      58.81
370     19.12   75      56.92
371     19.99   74      55.27
317     18.86   73      52.53
363     20.32   73      54.22
318     18.86   73      53.09
360     20.60   74      54.06
380     21.39   74      54.84
343     20.53   74      53.03
310     18.80   75      52.27
370     21.35   74      54.28
363     19.89   74      54.37
368     20.32   73      54.45
358     19.85   73      54.26
361     19.73   73      54.37
360     19.64   74      54.31
360     19.63   73      54.35
375     22.10   73      54.19
316     20.57   74      52.49
386     22.48   73      56.85
409     21.68   73      58.93
362     19.05   74      55.84
344     19.58   73      59.25
344     20.07   73      58.74
340     19.90   73      54.05
378     22.20   74      56.57
403     20.71   73      59.40
339     19.67   73      55.43
294     19.61   73      52.25
345     20.91   73      53.36
359     19.73   73      54.42
359     19.76   73      54.41
350     19.93   73      54.05
359     19.98   74      54.67
362     20.03   73      54.29
368     20.53   74      54.45
354     19.58   74      54.26
322     20.09   73      53.04
393     23.58   73      56.84
408     21.18   74      59.26
367     19.15   73      56.38
360     19.85   73      54.63
300     18.86   74      52.10
388     21.92   73      57.35
367     19.10   74      56.61
362     20.01   74      54.63
364     20.21   73      54.37
324     20.60   73      52.91
336     21.34   74      53.64
361     20.93   73      53.90
367     20.32   73      55.10
361     19.87   74      54.47
352     20.25   73      54.06
364     20.16   73      54.39
360     19.82   73      54.33
361     19.91   73      54.38
353     19.43   73      54.25
327     20.34   73      52.94
400     23.00   73      57.49
395     20.45   74      58.26
381     21.33   74      57.43
399     20.74   73      58.15
365     18.84   73      56.36
364     19.91   73      54.70
279     17.52   72      51.44
294     15.89   72      51.67
278     14.99   72      51.37
253     16.50   73      59.93
279     15.53   73      55.34
282     15.25   73      59.52
304     15.62   72      51.49
290     14.77   72      53.58
302     15.37   73      51.80
304     15.11   73      52.24
303     15.08   72      52.10
296     14.86   73      51.81
292     14.72   73      49.52
292     15.88   73      53.64
321     16.41   73      52.76
297     15.18   73      51.48
281     15.05   72      51.60
282     14.46   72      51.14
277     14.98   73      50.30
275     14.28   72      51.09
292     15.54   73      51.28
303     15.10   72      51.96
264     13.85   72      50.24
273     15.95   72      50.41
277     15.81   72      50.79
260     16.13   72      50.40
336     16.66   72      55.50
