Avg_MHz	Busy%	PkgTmp	PkgWatt
504	30.08	71	59.21
528	30.61	70	59.91
569	30.42	70	62.78
562	29.79	70	62.75
568	30.25	70	63.32
552	30.75	69	60.59
554	30.70	69	60.70
519	29.92	69	59.51
518	30.14	70	59.35
586	31.22	70	63.44
558	30.53	70	62.38
560	29.91	70	62.17
518	29.55	71	62.04
562	30.87	71	61.50
612	30.47	71	66.09
604	30.65	70	65.65
612	32.61	70	67.72
538	30.93	70	62.74
520	30.68	69	60.65
574	30.57	71	62.34
522	30.62	70	58.88
523	30.00	71	49.10
526	31.08	70	48.68
568	31.25	71	54.24
609	31.39	70	64.27
621	31.77	70	65.70
640	33.01	70	68.21
606	30.02	71	68.16
588	29.79	71	65.69
530	29.63	70	61.02
581	31.47	72	63.39
572	30.61	71	62.85
591	31.19	71	64.09
563	29.76	72	64.31
543	29.67	71	61.60
579	31.06	70	63.18
621	32.51	71	65.11
569	31.15	71	63.36
587	30.89	71	62.73
647	31.60	71	67.40
633	31.05	72	70.28
602	30.92	71	66.97
584	30.49	71	64.91
628	31.58	71	66.61
610	30.57	71	65.61
640	31.41	72	70.18
608	32.19	71	67.55
534	31.07	71	60.06
565	31.02	70	56.21
595	31.29	71	53.17
593	30.97	71	64.24
578	30.16	71	64.07
533	30.18	71	60.96
570	30.38	71	63.32
599	31.29	71	65.12
647	31.89	72	64.72
669	33.03	71	69.81
677	32.10	72	71.55
660	31.88	71	70.09
641	30.70	72	70.38
650	32.22	71	68.95
649	31.33	71	69.69
651	32.00	70	70.38
581	29.46	71	65.72
540	29.88	72	61.56
633	31.84	72	65.42
667	33.68	71	69.25
668	32.37	71	70.23
665	31.87	72	70.84
582	29.48	71	66.77
604	31.12	72	64.59
591	30.63	72	65.04
637	30.69	72	69.34
651	30.35	71	69.20
650	30.50	71	69.85
618	30.97	72	64.74
627	32.52	71	56.52
566	31.22	72	50.29
617	30.53	71	53.58
643	32.44	71	67.01
624	30.92	71	69.39
686	32.29	71	64.11
688	30.69	71	75.54
631	29.27	72	70.56
624	30.95	71	68.35
632	30.86	72	68.38
638	32.69	71	67.85
567	30.51	72	63.93
547	30.04	71	61.39
595	32.41	72	63.20
603	31.67	72	64.94
580	31.42	72	63.42
561	30.34	71	62.79
569	30.84	72	63.24
597	31.55	72	65.55
640	30.15	72	69.81
649	30.50	72	69.34
588	31.14	72	64.36
565	31.79	72	61.49
660	33.11	72	72.31
658	31.97	72	72.19
665	31.63	73	71.67
642	31.08	72	69.18
576	30.63	73	64.15
594	30.72	72	63.97
609	30.67	72	66.73
620	32.00	72	66.70
609	30.34	72	65.45
608	30.21	72	64.76
606	31.00	72	65.01
600	30.74	72	66.51
584	30.14	72	63.75
588	29.55	72	64.25
617	31.42	72	64.64
575	30.86	72	64.49
591	31.12	72	65.73
688	34.77	72	70.83
712	32.76	72	72.73
694	32.46	72	73.87
671	31.05	72	72.49
680	32.66	72	71.25
676	32.22	72	72.37
643	31.75	72	69.10
613	29.75	72	68.49
637	30.19	72	68.31
679	30.73	72	72.79
642	31.17	72	69.30
531	30.27	72	62.07
531	30.23	72	51.77
533	29.65	72	49.30
564	32.21	72	50.61
623	30.62	72	54.17
573	30.53	72	52.32
611	31.31	71	63.89
608	31.46	71	66.12
650	31.11	71	69.76
677	30.75	72	73.55
592	29.82	71	66.09
568	31.35	72	62.57
548	30.26	72	61.30
541	31.76	72	60.12
559	30.85	72	62.12
566	30.98	71	62.34
578	30.27	72	63.56
636	30.58	72	67.83
621	30.60	73	69.48
595	31.81	72	64.80
573	30.63	72	64.61
578	31.85	73	63.37
582	30.58	72	61.00
620	30.76	72	69.61
602	30.45	72	64.49
622	30.90	72	64.71
597	30.38	71	65.12
608	30.75	73	65.48
608	30.78	72	64.76
604	32.06	73	63.79
532	29.71	72	59.91
545	30.17	72	61.39
548	30.31	72	60.88
543	30.76	73	60.88
609	31.09	72	63.78
672	32.47	71	69.05
691	31.77	73	70.19
662	31.25	72	69.48
657	30.68	73	68.29
608	31.73	73	64.90
555	30.33	73	61.78
576	31.45	73	62.02
602	30.12	72	64.68
613	31.29	73	66.96
644	31.75	73	67.75
671	31.38	73	72.80
630	30.50	73	69.71
607	30.77	72	65.19
605	30.68	73	63.42
603	31.23	72	64.12
558	29.87	73	61.98
548	30.82	73	60.63
546	30.39	73	60.67
598	31.18	73	62.82
576	30.32	73	63.39
620	31.17	72	64.94
614	29.31	73	65.98
604	29.97	73	65.59
568	30.97	73	62.49
579	31.76	74	63.44
601	30.62	73	65.43
615	31.88	73	65.80
641	31.63	73	70.48
608	31.76	73	67.46
512	25.99	73	62.34
314	15.26	73	53.67
304	14.76	73	52.89
277	15.02	74	51.16
263	14.93	72	50.18
293	16.49	73	48.24
265	14.76	72	38.90
294	15.85	73	40.50
269	14.86	72	39.62
300	15.55	72	40.80
274	15.09	71	40.03
296	15.28	72	40.65
301	15.11	72	41.25
307	15.03	72	52.11
302	14.84	73	52.44
323	16.18	72	52.93
311	15.28	73	52.54
322	16.09	72	53.08
300	14.99	72	52.24
311	15.44	73	52.35
305	14.95	72	52.14
305	14.93	72	52.14
267	14.75	73	50.73
265	15.05	72	43.43
268	15.00	71	40.37
308	16.15	71	41.31
305	16.19	72	51.70
312	15.74	72	52.38
304	15.10	72	52.21
313	15.80	72	52.41
296	15.22	73	51.94
305	15.12	73	52.23
304	15.07	72	52.20
304	15.09	73	51.96
298	14.89	73	52.23
306	15.26	72	52.27
317	16.14	72	52.58
313	15.81	72	52.16
297	15.12	72	52.30
310	15.68	72	52.30
304	15.09	72	52.19
293	14.78	72	50.35
306	15.51	72	53.80
305	15.14	73	52.14
305	15.12	72	52.12
297	14.87	72	51.84
319	16.68	72	52.47
309	15.52	72	51.89
307	15.20	72	52.58
303	15.36	72	51.86
304	15.41	72	52.22
304	15.09	72	52.09
305	15.16	72	52.20
297	14.86	72	51.88
302	15.71	72	51.88
304	15.10	72	52.04
322	16.46	72	52.44
297	14.86	71	52.13
310	15.88	72	52.19
309	15.56	72	52.23
303	15.06	72	52.05
295	14.85	72	51.80
303	15.44	72	51.96
304	15.02	71	52.07
303	14.93	71	52.04
295	14.95	72	51.77
322	17.07	72	52.60
304	15.09	73	52.05
313	15.74	72	52.55
306	15.53	73	52.14
304	15.04	72	52.15
304	15.09	72	52.17
304	15.09	72	52.06
298	14.90	72	51.93
304	15.07	71	52.14
304	15.10	72	52.14
322	16.50	71	52.67
297	14.75	72	52.26
317	16.00	71	52.62
311	15.52	72	52.73
305	14.98	71	52.60
297	14.79	70	52.29
305	15.16	71	52.35
304	15.08	71	52.18
304	15.08	71	52.12
296	14.93	72	51.64
319	16.48	72	52.79
265	14.35	70	48.28
251	16.60	71	52.74
288	15.41	71	50.32
269	15.97	70	42.58
331	15.85	71	56.70
322	15.39	71	56.47
314	15.39	71	51.66
336	15.38	71	46.08
337	15.08	71	54.75
347	16.79	72	57.25
321	15.63	71	50.25
287	14.49	71	40.79
330	17.51	72	58.22
340	15.29	72	57.99
318	14.22	72	56.57
262	14.73	72	51.54
264	14.83	72	40.50
268	15.08	71	39.07
257	14.66	71	38.40
304	16.14	70	40.86
293	14.85	71	40.82
303	15.60	70	41.05
278	15.26	70	39.87
263	14.99	71	39.02
270	15.18	71	40.33
292	15.05	71	41.07
292	14.88	71	41.93
304	15.07	71	51.95
304	15.08	71	52.09
323	16.66	72	52.52
298	14.82	71	52.01
312	15.77	71	52.31
310	15.58	71	52.38
