Avg_MHz	Busy%	PkgTmp	PkgWatt
301	15.07	70	40.23
269	15.11	70	39.25
281	15.35	70	38.52
402	24.22	71	46.80
391	22.05	71	54.47
347	21.18	70	44.21
374	21.71	71	66.52
393	22.99	71	64.54
369	21.36	70	63.86
335	20.65	70	69.29
300	21.10	70	63.50
383	23.03	70	64.20
378	21.83	70	62.74
381	22.50	69	63.21
328	22.17	69	61.43
364	21.29	70	63.93
389	22.23	70	64.62
369	21.97	70	63.04
343	22.52	70	64.55
425	23.60	71	68.53
325	19.94	70	63.63
403	23.49	71	66.43
376	20.96	71	65.09
381	21.87	71	64.68
356	20.81	71	63.51
361	21.40	70	63.39
359	21.33	71	69.28
402	23.21	71	64.74
388	21.97	72	64.69
342	20.43	71	66.67
369	21.63	71	61.63
386	21.67	71	64.79
387	21.55	71	65.11
346	21.03	71	63.50
323	20.86	71	68.22
343	23.19	70	67.61
420	23.28	71	66.53
410	22.52	72	63.05
352	21.28	71	63.21
326	20.38	70	69.77
388	24.04	71	63.83
398	23.25	71	65.75
419	22.20	71	67.81
420	22.40	71	68.39
394	20.97	71	67.06
348	20.39	72	63.10
351	21.37	71	63.00
368	23.10	72	68.19
376	21.77	71	62.56
329	20.53	70	63.70
401	23.87	72	66.00
444	23.30	71	69.60
430	22.32	72	68.91
396	21.05	72	66.02
385	21.32	71	64.49
382	21.13	71	64.32
349	20.94	71	61.85
345	23.95	72	66.31
422	24.02	71	66.31
327	19.56	72	62.96
364	22.29	71	65.20
317	19.99	71	62.24
372	21.38	71	63.99
368	22.37	71	63.58
322	20.06	71	63.40
329	21.63	71	63.32
371	21.57	71	62.30
369	22.60	71	67.78
356	21.88	72	68.05
325	21.55	71	66.69
373	21.84	71	62.43
386	21.99	71	61.47
350	20.60	71	63.94
357	23.77	71	63.78
350	20.48	71	60.91
367	21.38	71	62.28
313	21.06	70	68.26
335	24.66	69	65.64
404	24.00	71	64.27
417	22.03	69	69.49
403	21.14	70	67.79
388	21.30	70	65.05
375	20.91	71	64.08
385	21.82	70	64.24
287	18.81	70	61.03
314	20.82	71	60.77
355	21.12	72	62.58
391	22.92	71	63.07
329	21.62	71	64.82
320	22.26	70	62.18
387	23.26	71	64.32
430	22.82	70	67.79
388	21.00	71	60.18
348	21.06	70	61.11
343	21.79	71	61.46
385	22.15	70	63.46
338	20.21	71	68.06
400	23.34	71	64.69
357	20.97	70	63.64
361	21.66	70	63.24
342	20.55	71	63.02
323	21.25	70	62.53
393	23.59	71	66.37
433	23.37	71	69.69
404	23.56	71	67.76
432	23.01	70	69.22
436	22.54	71	69.70
435	22.72	70	69.56
442	23.42	71	69.76
429	22.27	71	69.49
439	22.89	71	60.06
424	21.95	70	68.85
386	21.46	71	65.56
391	22.18	70	64.79
383	21.58	70	64.34
382	21.59	70	64.15
382	21.36	70	64.36
358	22.48	70	62.96
