Avg_MHz	Busy%	PkgTmp	PkgWatt
577	31.92	71	58.95
596	33.33	71	57.28
589	31.03	71	57.57
603	29.94	72	62.90
661	30.87	72	69.92
583	29.98	72	64.63
551	29.13	73	61.26
559	31.33	74	61.09
615	31.15	73	65.67
604	32.73	72	63.47
592	32.41	72	62.72
560	30.45	72	61.40
502	29.19	72	59.20
533	29.43	72	62.82
659	32.95	73	68.51
643	30.10	73	68.88
609	30.62	73	66.13
604	30.63	72	66.22
550	29.96	72	61.01
565	32.20	72	61.66
578	32.40	72	62.63
550	31.29	72	58.20
527	30.20	72	66.92
567	30.80	73	63.37
526	30.01	72	60.14
557	31.04	72	62.10
493	28.81	73	58.62
510	29.51	72	58.73
495	29.57	73	58.55
552	32.46	73	60.49
551	31.14	73	60.41
472	29.95	73	57.15
454	28.92	73	55.63
519	30.81	73	59.64
602	30.96	73	63.31
596	30.59	73	65.02
576	30.16	72	64.27
616	30.85	73	65.27
608	30.86	73	67.35
653	32.08	74	69.35
624	33.64	74	68.24
595	31.36	73	66.27
646	33.45	74	68.25
687	31.89	73	71.62
538	28.25	73	62.01
546	30.01	73	55.93
581	31.91	73	70.48
653	32.73	73	67.20
559	29.93	74	63.37
610	32.50	74	64.07
571	31.67	73	63.47
498	28.63	73	59.19
456	29.57	73	56.26
544	30.99	73	60.78
567	30.63	73	62.48
518	29.04	74	61.23
513	29.85	74	59.69
536	31.09	73	53.32
650	30.51	74	68.00
654	31.50	73	69.22
543	31.14	74	62.23
487	30.59	73	57.95
516	30.45	73	55.17
536	30.26	74	60.94
545	29.53	73	61.96
485	27.12	74	59.26
515	31.18	73	58.84
500	28.76	73	50.64
500	30.03	73	58.89
591	32.45	74	62.51
539	31.07	73	60.87
487	29.87	74	58.00
507	30.56	73	58.28
514	29.58	74	59.27
572	30.95	73	62.83
541	29.78	74	61.91
517	30.14	74	60.56
529	29.58	73	61.04
582	30.69	74	62.93
569	31.79	74	62.60
522	31.03	73	57.44
563	31.00	73	63.09
608	30.49	73	64.51
543	29.26	73	62.41
576	31.11	74	62.15
538	29.96	73	61.72
601	30.97	74	62.94
564	29.84	74	63.17
613	31.55	74	66.00
652	32.62	74	67.23
579	31.09	73	64.65
600	32.86	74	64.71
614	31.26	74	67.30
578	30.30	73	65.54
600	31.39	74	63.99
547	31.47	75	62.24
622	32.16	74	67.66
684	33.03	74	71.81
657	31.31	74	70.61
568	30.83	73	64.30
497	30.76	74	58.13
629	34.07	74	66.53
658	31.09	74	70.73
524	28.57	74	63.34
506	29.46	74	55.52
586	31.75	74	70.22
654	30.54	73	68.42
592	29.74	73	66.59
537	29.01	73	62.02
552	31.86	74	59.25
487	30.30	73	59.63
532	31.01	74	60.26
575	31.18	73	62.58
573	29.56	73	63.34
510	29.46	73	60.52
556	32.05	73	61.45
593	31.02	73	64.20
537	29.50	74	61.59
564	29.79	74	62.89
566	31.35	76	62.76
578	32.92	73	63.76
592	30.46	75	65.13
559	30.11	74	63.55
556	30.23	74	61.56
466	28.57	73	58.92
530	30.02	74	60.23
500	29.94	74	57.31
609	31.33	74	69.22
638	31.05	74	67.37
654	32.46	73	67.10
522	30.00	74	60.64
588	32.18	74	63.36
593	30.75	75	64.60
586	30.77	75	65.64
594	30.02	73	67.78
617	30.14	75	68.11
617	30.08	74	68.25
617	31.56	74	68.01
604	31.53	74	60.23
592	32.16	74	75.41
595	32.30	74	63.86
587	31.05	74	65.43
544	29.51	74	62.29
469	28.13	75	58.63
515	30.71	74	58.99
573	31.19	74	60.77
642	31.68	75	72.42
677	32.69	74	71.77
628	30.42	73	70.10
535	31.40	74	62.48
596	34.59	75	64.84
659	31.27	74	71.62
524	28.68	74	56.43
528	29.69	74	67.83
528	30.08	73	59.92
532	30.48	74	60.28
546	30.58	73	61.50
553	30.51	74	58.30
598	32.23	74	68.01
617	32.48	74	64.64
588	30.62	73	59.86
582	32.37	73	70.90
604	31.18	73	66.15
581	30.31	74	64.75
549	29.96	73	62.89
534	29.54	73	61.23
569	30.35	74	62.35
577	30.41	73	62.95
573	32.27	73	60.36
536	31.57	74	62.81
574	31.12	73	62.87
577	29.67	73	64.39
481	27.80	73	54.37
566	30.30	73	68.91
665	31.62	73	69.96
635	29.94	73	70.09
574	30.37	73	61.20
573	30.65	73	68.74
568	31.96	73	61.13
533	30.28	73	60.09
547	30.71	73	61.19
554	29.72	73	61.78
589	31.55	72	63.55
553	29.21	73	64.27
566	31.30	73	63.20
602	30.44	72	64.62
588	29.97	72	64.03
515	30.50	72	60.18
551	33.07	72	60.54
627	32.48	73	67.53
633	31.24	73	67.91
407	19.02	72	59.66
299	14.34	73	52.49
308	15.02	72	52.51
308	15.00	72	52.22
